#Beta=5.9000, ml=0.006600, ms=0.132000, u0=1.000, Nt=4, Ns=16^3 
#Iters 	 TraceF3iDzF3iMinusF4iDzF4i.real 	 TraceF3iDzF3iMinusF4iDzF4i.imag 	 AvgTraceF3iDzF3iMinusF4iDzF4i.real 	 AvgTraceF3iDzF3iMinusF4iDzF4i.imag 	 TraceF4iDzF3iPlusF3iDzF4i.real 	 TraceF4iDzF3iPlusF3iDzF4i.imag 	 AvgTraceF4iDzF3iPlusF3iDzF4i.real 	 AvgTraceF4iDzF3iPlusF3iDzF4i.imag 
34 	 -3.589238e-02 	 3.318620e-05 	 -5.419372e-02 	 3.523850e-04 	 -1.839820e-03 	 1.257861e-03 	 9.461690e-04 	 2.713816e-04 
35 	 -3.432535e-02 	 -7.769873e-04 	 -5.362605e-02 	 3.201172e-04 	 -3.259552e-03 	 1.337746e-03 	 8.260056e-04 	 3.018491e-04 
36 	 -3.350502e-02 	 -5.143606e-04 	 -5.306713e-02 	 2.969373e-04 	 -2.315886e-03 	 7.385624e-04 	 7.387308e-04 	 3.139800e-04 
37 	 -3.333914e-02 	 -8.896044e-05 	 -5.253395e-02 	 2.865076e-04 	 -7.375269e-04 	 2.481118e-04 	 6.988320e-04 	 3.121998e-04 
38 	 -3.191867e-02 	 -1.355878e-03 	 -5.199144e-02 	 2.432869e-04 	 2.669805e-03 	 -1.885044e-03 	 7.506997e-04 	 2.543776e-04 
39 	 -2.830266e-02 	 6.488250e-04 	 -5.138403e-02 	 2.536854e-04 	 3.807645e-03 	 -1.887682e-03 	 8.290829e-04 	 1.994530e-04 
40 	 -2.929330e-02 	 -1.857094e-03 	 -5.083177e-02 	 2.009159e-04 	 4.402926e-03 	 5.428409e-04 	 9.184290e-04 	 2.080377e-04 
41 	 -3.440234e-02 	 7.486257e-05 	 -5.043105e-02 	 1.978414e-04 	 3.694786e-03 	 -1.684479e-03 	 9.861450e-04 	 1.618788e-04 
42 	 -2.796555e-02 	 1.640683e-03 	 -4.989615e-02 	 2.321948e-04 	 2.863307e-03 	 -1.354154e-03 	 1.030839e-03 	 1.257827e-04 
43 	 -2.599894e-02 	 1.165079e-03 	 -4.934041e-02 	 2.538898e-04 	 2.333916e-03 	 -1.761981e-03 	 1.061143e-03 	 8.188125e-05 
44 	 -2.385652e-02 	 -2.139706e-03 	 -4.876123e-02 	 1.994898e-04 	 9.600888e-04 	 -7.044749e-04 	 1.058847e-03 	 6.400952e-05 
45 	 -2.699839e-02 	 -2.166173e-03 	 -4.827761e-02 	 1.469196e-04 	 2.360548e-03 	 1.010307e-03 	 1.087773e-03 	 8.503834e-05 
46 	 -2.705456e-02 	 -8.253192e-04 	 -4.781624e-02 	 1.257839e-04 	 2.956610e-03 	 1.479497e-03 	 1.128400e-03 	 1.153527e-04 
47 	 -2.164532e-02 	 -1.127756e-03 	 -4.725941e-02 	 9.911288e-05 	 7.766768e-04 	 -2.193149e-04 	 1.120917e-03 	 1.082321e-04 
48 	 -2.648237e-02 	 1.931744e-04 	 -4.682655e-02 	 1.010725e-04 	 -1.617484e-03 	 -1.439499e-03 	 1.063867e-03 	 7.598767e-05 
49 	 -2.426710e-02 	 1.912623e-03 	 -4.636616e-02 	 1.380429e-04 	 -2.756456e-03 	 -5.676045e-04 	 9.859010e-04 	 6.285314e-05 
50 	 -1.940981e-02 	 2.452342e-03 	 -4.582703e-02 	 1.843289e-04 	 -2.778533e-03 	 5.921928e-04 	 9.106124e-04 	 7.343993e-05 
51 	 -2.005130e-02 	 9.647349e-04 	 -4.532162e-02 	 1.996310e-04 	 -1.528537e-03 	 5.352223e-04 	 8.627859e-04 	 8.249449e-05 
52 	 -2.142908e-02 	 1.004946e-03 	 -4.486215e-02 	 2.151178e-04 	 1.164352e-03 	 6.106404e-04 	 8.685853e-04 	 9.265114e-05 
53 	 -1.932688e-02 	 1.078972e-03 	 -4.438035e-02 	 2.314169e-04 	 1.599363e-03 	 5.474380e-04 	 8.823735e-04 	 1.012320e-04 
54 	 -1.715352e-02 	 -1.100126e-03 	 -4.387615e-02 	 2.067587e-04 	 -3.495166e-03 	 1.011795e-03 	 8.013080e-04 	 1.180943e-04 
55 	 -1.791413e-02 	 -9.660657e-04 	 -4.340412e-02 	 1.854346e-04 	 -1.488001e-03 	 2.252768e-04 	 7.596842e-04 	 1.200431e-04 
56 	 -2.100734e-02 	 -1.795180e-03 	 -4.300417e-02 	 1.500665e-04 	 -1.892404e-03 	 1.485662e-03 	 7.123255e-04 	 1.444291e-04 
