#Beta=5.9000, ml=0.006600, ms=0.132000, u0=1.000, Nt=4, Ns=16^3 
#Iters 	 TraceF3iF3iMinusF4iF4i.real 	 TraceF3iF3iMinusF4iF4i.imag 	 AvgTraceF3iF3iMinusF4iF4i.real 	 AvgTraceF3iF3iMinusF4iF4i.imag 	 TraceF4iF3iPlusF3iF4i.real 	 TraceF4iF3iPlusF3iF4i.imag 	 AvgTraceF4iF3iPlusF3iF4i.real 	 AvgTraceF4iF3iPlusF3iF4i.imag 
35 	 2.464687e-03 	 1.371206e-19 	 4.368327e-03 	 -6.072952e-20 	 -7.736031e-03 	 2.468369e-19 	 5.724691e-04 	 4.192091e-20 
36 	 3.563984e-03 	 1.269322e-20 	 4.345985e-03 	 -5.869000e-20 	 -5.670857e-03 	 -3.176218e-19 	 3.990434e-04 	 3.193361e-20 
37 	 5.519496e-03 	 -2.352389e-20 	 4.377701e-03 	 -5.773956e-20 	 -1.616407e-03 	 -5.391398e-20 	 3.445718e-04 	 2.961340e-20 
38 	 1.842841e-03 	 -2.403876e-19 	 4.310994e-03 	 -6.254609e-20 	 1.323545e-03 	 -1.716637e-19 	 3.703342e-04 	 2.431664e-20 
39 	 5.361619e-03 	 1.235402e-20 	 4.337933e-03 	 -6.062558e-20 	 3.426137e-03 	 1.674664e-19 	 4.486881e-04 	 2.798715e-20 
40 	 4.321826e-03 	 -8.397529e-20 	 4.337531e-03 	 -6.120932e-20 	 2.272679e-03 	 -2.402377e-19 	 4.942879e-04 	 2.128153e-20 
41 	 2.528272e-03 	 -1.767192e-20 	 4.293402e-03 	 -6.014743e-20 	 2.568941e-04 	 -1.830652e-19 	 4.884978e-04 	 1.629746e-20 
42 	 2.206733e-03 	 -1.533661e-19 	 4.243720e-03 	 -6.236692e-20 	 1.081146e-03 	 1.327435e-19 	 5.026085e-04 	 1.906998e-20 
43 	 2.704125e-03 	 1.223176e-19 	 4.207915e-03 	 -5.807193e-20 	 1.182202e-03 	 4.381741e-20 	 5.184130e-04 	 1.964551e-20 
44 	 9.120834e-03 	 7.568719e-20 	 4.319573e-03 	 -5.503195e-20 	 -4.101210e-04 	 -1.300522e-19 	 4.973099e-04 	 1.624328e-20 
45 	 6.151779e-03 	 6.405118e-20 	 4.360288e-03 	 -5.238566e-20 	 -1.096756e-03 	 1.088504e-19 	 4.618863e-04 	 1.830122e-20 
46 	 2.097742e-03 	 -2.606314e-19 	 4.311102e-03 	 -5.691274e-20 	 -2.814494e-04 	 -1.631395e-19 	 4.457268e-04 	 1.435686e-20 
47 	 7.688981e-03 	 3.121946e-19 	 4.382972e-03 	 -4.905940e-20 	 -4.164259e-03 	 -5.036488e-19 	 3.476420e-04 	 3.335461e-21 
48 	 6.215251e-03 	 -2.818748e-20 	 4.421145e-03 	 -4.862457e-20 	 -3.368619e-03 	 -1.137829e-19 	 2.702199e-04 	 8.954957e-22 
