#Beta=5.440000e+00, Nt=6, Ns=12^3 
#Iter 	 TraceF3iF3iMinusF4iF4i.real 	 TraceF3iF3iMinusF4iF4i.imag 	 AvgTraceF3iF3iMinusF4iF4i.real 	 AvgTraceF3iF3iMinusF4iF4i.imag 	 TraceF4iF3iPlusF3iF4i.real 	 TraceF4iF3iPlusF3iF4i.imag 	 AvgTraceF4iF3iPlusF3iF4i.real 	 AvgTraceF4iF3iPlusF3iF4i.imag 
36 	 2.355874e-02 	 -4.675124e-18 	 4.615071e-03 	 2.935424e-19 	 -6.470191e-02 	 2.497011e-18 	 1.099917e-02 	 4.084349e-19 
37 	 2.068034e-02 	 2.170332e-18 	 5.049268e-03 	 3.442665e-19 	 -1.940506e-02 	 1.599533e-18 	 1.017743e-02 	 4.406267e-19 
38 	 3.978342e-02 	 2.772624e-18 	 5.963325e-03 	 4.081706e-19 	 2.638439e-02 	 -2.792824e-18 	 1.060393e-02 	 3.555359e-19 
39 	 3.986479e-02 	 -8.936198e-19 	 6.832593e-03 	 3.747914e-19 	 1.070636e-02 	 2.688754e-18 	 1.060656e-02 	 4.153620e-19 
40 	 1.325275e-02 	 3.608400e-18 	 6.993097e-03 	 4.556316e-19 	 3.319396e-02 	 -1.813027e-18 	 1.117124e-02 	 3.596523e-19 
41 	 3.725392e-02 	 1.628855e-18 	 7.731166e-03 	 4.842468e-19 	 7.429163e-03 	 2.841011e-18 	 1.107997e-02 	 4.201732e-19 
42 	 7.400188e-02 	 -3.526315e-19 	 9.309040e-03 	 4.643211e-19 	 3.278094e-02 	 2.486303e-18 	 1.159666e-02 	 4.693668e-19 
43 	 6.304174e-02 	 9.208614e-19 	 1.055864e-02 	 4.749383e-19 	 4.842731e-02 	 -2.272140e-18 	 1.245319e-02 	 4.056108e-19 
44 	 6.100861e-02 	 -5.932799e-19 	 1.170523e-02 	 4.506606e-19 	 7.508890e-02 	 -5.174723e-18 	 1.387673e-02 	 2.787851e-19 
45 	 6.773807e-02 	 -1.707038e-18 	 1.295040e-02 	 4.027118e-19 	 7.652040e-02 	 -2.670350e-18 	 1.526881e-02 	 2.132487e-19 
46 	 7.572535e-02 	 3.577904e-19 	 1.431507e-02 	 4.017352e-19 	 1.197398e-01 	 5.148622e-18 	 1.753992e-02 	 3.205395e-19 
47 	 3.191513e-02 	 -5.613902e-18 	 1.468954e-02 	 2.737429e-19 	 1.352248e-01 	 -1.573432e-18 	 2.004385e-02 	 2.802422e-19 
48 	 2.446527e-02 	 -3.162024e-18 	 1.489320e-02 	 2.021645e-19 	 1.460440e-01 	 -6.386419e-19 	 2.266886e-02 	 2.610988e-19 
49 	 3.831258e-02 	 -4.082137e-18 	 1.537115e-02 	 1.147297e-19 	 1.379631e-01 	 3.732801e-18 	 2.502180e-02 	 3.319498e-19 
50 	 5.035226e-02 	 -1.341428e-18 	 1.607077e-02 	 8.560657e-20 	 1.411698e-01 	 -4.399385e-18 	 2.734476e-02 	 2.373232e-19 
51 	 2.898883e-03 	 3.963478e-18 	 1.581250e-02 	 1.616433e-19 	 1.260939e-01 	 4.376462e-18 	 2.928102e-02 	 3.184827e-19 
52 	 1.237144e-02 	 -7.522568e-19 	 1.574633e-02 	 1.440683e-19 	 1.106054e-01 	 -7.703190e-19 	 3.084495e-02 	 2.975443e-19 
53 	 -2.411787e-03 	 -9.747885e-19 	 1.540372e-02 	 1.229578e-19 	 1.138086e-01 	 -8.054551e-19 	 3.241030e-02 	 2.767329e-19 
54 	 -4.707646e-03 	 -1.545512e-18 	 1.503129e-02 	 9.206017e-20 	 1.117097e-01 	 2.558249e-18 	 3.387881e-02 	 3.189832e-19 
