#Beta=5.425000e+00, Nt=6, Ns=12^3 
#Iter 	 TraceF3iF3iMinusF4iF4i.real 	 TraceF3iF3iMinusF4iF4i.imag 	 AvgTraceF3iF3iMinusF4iF4i.real 	 AvgTraceF3iF3iMinusF4iF4i.imag 	 TraceF4iF3iPlusF3iF4i.real 	 TraceF4iF3iPlusF3iF4i.imag 	 AvgTraceF4iF3iPlusF3iF4i.real 	 AvgTraceF4iF3iPlusF3iF4i.imag 
1 	 0.000000e+00 	 0.000000e+00 	 0.000000e+00 	 0.000000e+00 	 0.000000e+00 	 0.000000e+00 	 0.000000e+00 	 0.000000e+00 
2 	 1.720711e-03 	 -4.908330e-20 	 8.603557e-04 	 -2.454165e-20 	 -9.707671e-03 	 4.874727e-19 	 -4.853836e-03 	 2.437363e-19 
3 	 2.743295e-04 	 -5.792160e-19 	 6.650136e-04 	 -2.094331e-19 	 -1.199186e-02 	 1.042373e-19 	 -7.233176e-03 	 1.972367e-19 
4 	 1.500399e-03 	 -1.399709e-19 	 8.738599e-04 	 -1.920675e-19 	 -3.165875e-02 	 -1.458152e-19 	 -1.333957e-02 	 1.114737e-19 
5 	 -6.759458e-03 	 -1.691461e-18 	 -6.528037e-04 	 -4.919463e-19 	 -1.787726e-02 	 1.972918e-18 	 -1.424711e-02 	 4.837625e-19 
6 	 1.855913e-02 	 3.994218e-19 	 2.549185e-03 	 -3.433850e-19 	 -1.170274e-03 	 1.584976e-18 	 -1.206763e-02 	 6.672981e-19 
7 	 1.645497e-02 	 -4.829611e-19 	 4.535726e-03 	 -3.633244e-19 	 -6.961299e-03 	 -1.028319e-18 	 -1.133816e-02 	 4.250671e-19 
8 	 3.470194e-02 	 4.156433e-20 	 8.306502e-03 	 -3.127133e-19 	 -2.064401e-02 	 -3.032587e-19 	 -1.250139e-02 	 3.340264e-19 
9 	 2.222371e-02 	 1.827607e-18 	 9.852859e-03 	 -7.489998e-20 	 -2.071409e-02 	 -3.317023e-19 	 -1.341391e-02 	 2.600565e-19 
10 	 2.305304e-02 	 -3.207981e-18 	 1.117288e-02 	 -3.882081e-19 	 -2.451750e-02 	 5.109805e-19 	 -1.452427e-02 	 2.851489e-19 
11 	 3.893642e-02 	 -1.384785e-18 	 1.369684e-02 	 -4.788060e-19 	 -2.692491e-02 	 1.162506e-18 	 -1.565160e-02 	 3.649086e-19 
12 	 3.208911e-02 	 2.810712e-19 	 1.522952e-02 	 -4.154829e-19 	 3.364950e-03 	 -9.265913e-19 	 -1.406689e-02 	 2.572836e-19 
13 	 2.507123e-02 	 -7.532972e-19 	 1.598658e-02 	 -4.414687e-19 	 2.475838e-02 	 -1.477058e-18 	 -1.108033e-02 	 1.238727e-19 
14 	 4.731186e-02 	 1.126437e-18 	 1.822410e-02 	 -3.294754e-19 	 2.284806e-02 	 -5.191622e-18 	 -8.656874e-03 	 -2.558054e-19 
15 	 2.475174e-02 	 8.925505e-19 	 1.865928e-02 	 -2.480070e-19 	 -1.491392e-02 	 1.819050e-18 	 -9.074011e-03 	 -1.174817e-19 
16 	 2.889114e-02 	 2.654322e-18 	 1.929877e-02 	 -6.661148e-20 	 -2.360835e-02 	 1.471704e-18 	 -9.982407e-03 	 -1.815762e-20 
17 	 2.728806e-02 	 -1.096171e-18 	 1.976872e-02 	 -1.271738e-19 	 -6.262829e-03 	 3.029743e-18 	 -9.763608e-03 	 1.611306e-19 
18 	 3.333841e-02 	 -9.380733e-19 	 2.052260e-02 	 -1.722238e-19 	 -3.649027e-02 	 1.417494e-18 	 -1.124842e-02 	 2.309286e-19 
19 	 2.246751e-02 	 -2.048275e-18 	 2.062496e-02 	 -2.709633e-19 	 -5.464544e-02 	 1.251852e-18 	 -1.353248e-02 	 2.846614e-19 
20 	 7.221332e-03 	 2.514907e-18 	 1.995478e-02 	 -1.316698e-19 	 -1.671597e-02 	 9.794629e-19 	 -1.369165e-02 	 3.194015e-19 
21 	 5.810555e-03 	 1.166810e-18 	 1.928124e-02 	 -6.983743e-20 	 3.461999e-02 	 7.736653e-19 	 -1.139110e-02 	 3.410331e-19 
22 	 1.405591e-02 	 3.837373e-19 	 1.904373e-02 	 -4.922040e-20 	 3.676081e-02 	 -1.582132e-18 	 -9.202373e-03 	 2.536165e-19 
23 	 3.955669e-02 	 8.027676e-19 	 1.993560e-02 	 -1.217744e-20 	 2.887609e-02 	 3.610996e-18 	 -7.546788e-03 	 3.995895e-19 
24 	 4.853990e-02 	 2.957529e-18 	 2.112744e-02 	 1.115603e-19 	 8.725003e-03 	 4.758610e-18 	 -6.868797e-03 	 5.812154e-19 
25 	 3.307591e-02 	 5.994484e-19 	 2.160538e-02 	 1.310758e-19 	 -1.048498e-02 	 8.610038e-19 	 -7.013444e-03 	 5.924069e-19 
26 	 2.269888e-02 	 -5.960553e-19 	 2.164744e-02 	 1.031093e-19 	 1.861627e-03 	 3.361696e-18 	 -6.672095e-03 	 6.989180e-19 
27 	 -2.220345e-02 	 1.259018e-18 	 2.002333e-02 	 1.459207e-19 	 1.978284e-02 	 -1.597860e-18 	 -5.692283e-03 	 6.138522e-19 
28 	 -1.143531e-02 	 5.068069e-18 	 1.889981e-02 	 3.217117e-19 	 9.303130e-03 	 -8.031127e-20 	 -5.156732e-03 	 5.890606e-19 
29 	 1.458806e-02 	 -4.027736e-18 	 1.875113e-02 	 1.717307e-19 	 -2.383088e-02 	 1.740412e-18 	 -5.800668e-03 	 6.287624e-19 
30 	 3.870213e-04 	 -3.465763e-19 	 1.813899e-02 	 1.544538e-19 	 -1.940071e-02 	 -2.456186e-19 	 -6.254003e-03 	 5.996164e-19 
31 	 -1.689603e-02 	 4.884551e-18 	 1.700883e-02 	 3.070376e-19 	 -2.130329e-02 	 8.054886e-18 	 -6.739464e-03 	 8.401089e-19 
32 	 -1.366923e-02 	 -5.670034e-19 	 1.605014e-02 	 2.797238e-19 	 -3.994510e-03 	 1.360607e-18 	 -6.653684e-03 	 8.563745e-19 
33 	 -1.858479e-02 	 -5.450262e-18 	 1.500060e-02 	 1.060879e-19 	 2.504506e-02 	 3.527338e-18 	 -5.693116e-03 	 9.373128e-19 
34 	 -3.825209e-02 	 6.576531e-20 	 1.343434e-02 	 1.049019e-19 	 5.296424e-02 	 -8.750582e-20 	 -3.967900e-03 	 9.071711e-19 
