#Beta=5.480000e+00, Nt=6, Ns=12^3 
#Iter 	 TraceF3iF3iMinusF4iF4i.real 	 TraceF3iF3iMinusF4iF4i.imag 	 AvgTraceF3iF3iMinusF4iF4i.real 	 AvgTraceF3iF3iMinusF4iF4i.imag 	 TraceF4iF3iPlusF3iF4i.real 	 TraceF4iF3iPlusF3iF4i.imag 	 AvgTraceF4iF3iPlusF3iF4i.real 	 AvgTraceF4iF3iPlusF3iF4i.imag 
1 	 0.000000e+00 	 0.000000e+00 	 0.000000e+00 	 0.000000e+00 	 0.000000e+00 	 0.000000e+00 	 0.000000e+00 	 0.000000e+00 
2 	 1.719602e-03 	 3.319455e-19 	 8.598008e-04 	 1.659727e-19 	 -9.705084e-03 	 -2.133268e-20 	 -4.852542e-03 	 -1.066634e-20 
3 	 2.745674e-04 	 -7.779048e-19 	 6.647230e-04 	 -1.486531e-19 	 -1.197878e-02 	 1.689046e-19 	 -7.227954e-03 	 4.919065e-20 
4 	 1.499364e-03 	 1.200285e-18 	 8.733832e-04 	 1.885814e-19 	 -3.162553e-02 	 -5.647723e-19 	 -1.332735e-02 	 -1.043001e-19 
5 	 -6.748581e-03 	 1.273200e-18 	 -6.510097e-04 	 4.055050e-19 	 -1.782837e-02 	 1.767894e-19 	 -1.422755e-02 	 -4.808219e-20 
6 	 1.855755e-02 	 5.397770e-19 	 2.550416e-03 	 4.278837e-19 	 -1.138483e-03 	 -7.018871e-19 	 -1.204604e-02 	 -1.570497e-19 
7 	 1.642052e-02 	 -2.555065e-18 	 4.531859e-03 	 1.748161e-21 	 -6.947709e-03 	 1.374829e-18 	 -1.131771e-02 	 6.179008e-20 
8 	 3.466960e-02 	 3.187391e-18 	 8.299078e-03 	 3.999535e-19 	 -2.058968e-02 	 5.882801e-19 	 -1.247670e-02 	 1.276013e-19 
9 	 2.226052e-02 	 2.403729e-18 	 9.850349e-03 	 6.225952e-19 	 -2.065248e-02 	 9.674371e-19 	 -1.338512e-02 	 2.209164e-19 
10 	 2.310449e-02 	 1.904844e-19 	 1.117576e-02 	 5.793842e-19 	 -2.447913e-02 	 -3.224163e-18 	 -1.449452e-02 	 -1.235915e-19 
11 	 3.893567e-02 	 2.147569e-18 	 1.369939e-02 	 7.219464e-19 	 -2.680131e-02 	 5.287159e-20 	 -1.561332e-02 	 -1.075494e-19 
12 	 3.204620e-02 	 1.499306e-18 	 1.522829e-02 	 7.867264e-19 	 3.462106e-03 	 5.712139e-19 	 -1.402370e-02 	 -5.098581e-20 
13 	 2.503581e-02 	 2.812821e-18 	 1.598272e-02 	 9.425798e-19 	 2.478043e-02 	 -6.324513e-20 	 -1.103877e-02 	 -5.192883e-20 
14 	 4.721634e-02 	 -3.087461e-19 	 1.821369e-02 	 8.531994e-19 	 2.276760e-02 	 3.448198e-18 	 -8.624029e-03 	 1.980802e-19 
15 	 2.467714e-02 	 4.036687e-19 	 1.864459e-02 	 8.232307e-19 	 -1.496900e-02 	 1.587486e-18 	 -9.047028e-03 	 2.907073e-19 
16 	 2.885534e-02 	 2.144747e-19 	 1.928276e-02 	 7.851834e-19 	 -2.363339e-02 	 -7.765096e-19 	 -9.958675e-03 	 2.240062e-19 
17 	 2.719718e-02 	 -2.511325e-19 	 1.974831e-02 	 7.242237e-19 	 -6.303342e-03 	 -2.709502e-18 	 -9.743655e-03 	 5.144695e-20 
18 	 3.326904e-02 	 4.442633e-18 	 2.049946e-02 	 9.308020e-19 	 -3.644206e-02 	 6.498520e-19 	 -1.122690e-02 	 8.469168e-20 
19 	 2.235447e-02 	 5.343905e-18 	 2.059710e-02 	 1.163071e-18 	 -5.463472e-02 	 2.282346e-18 	 -1.351152e-02 	 2.003577e-19 
20 	 7.022136e-03 	 -1.812396e-18 	 1.991835e-02 	 1.014297e-18 	 -1.665822e-02 	 5.702435e-18 	 -1.366886e-02 	 4.754616e-19 
21 	 5.689151e-03 	 9.746421e-19 	 1.924077e-02 	 1.012409e-18 	 3.463310e-02 	 -5.243657e-18 	 -1.136876e-02 	 2.031226e-19 
22 	 1.379728e-02 	 1.233734e-18 	 1.899334e-02 	 1.022469e-18 	 3.677280e-02 	 5.097089e-18 	 -9.180511e-03 	 4.255756e-19 
23 	 3.931682e-02 	 -2.431117e-18 	 1.987697e-02 	 8.723132e-19 	 2.892728e-02 	 -4.919065e-19 	 -7.523650e-03 	 3.856851e-19 
24 	 4.839978e-02 	 4.763096e-19 	 2.106542e-02 	 8.558130e-19 	 8.781318e-03 	 -2.121472e-18 	 -6.844277e-03 	 2.812202e-19 
25 	 3.291830e-02 	 1.692019e-18 	 2.153953e-02 	 8.892613e-19 	 -1.043147e-02 	 3.189696e-18 	 -6.987764e-03 	 3.975592e-19 
26 	 2.241958e-02 	 4.558138e-18 	 2.157338e-02 	 1.030372e-18 	 1.891506e-03 	 -1.378175e-18 	 -6.646254e-03 	 3.292617e-19 
