#Beta=5.460000e+00, Nt=6, Ns=12^3 
#Iter 	 TraceF3iF3iMinusF4iF4i.real 	 TraceF3iF3iMinusF4iF4i.imag 	 AvgTraceF3iF3iMinusF4iF4i.real 	 AvgTraceF3iF3iMinusF4iF4i.imag 	 TraceF4iF3iPlusF3iF4i.real 	 TraceF4iF3iPlusF3iF4i.imag 	 AvgTraceF4iF3iPlusF3iF4i.real 	 AvgTraceF4iF3iPlusF3iF4i.imag 
1 	 0.000000e+00 	 0.000000e+00 	 0.000000e+00 	 0.000000e+00 	 0.000000e+00 	 0.000000e+00 	 0.000000e+00 	 0.000000e+00 
2 	 -4.713764e-03 	 -3.486872e-19 	 -2.356882e-03 	 -1.743436e-19 	 1.773521e-03 	 2.394071e-19 	 8.867603e-04 	 1.197035e-19 
3 	 -9.573125e-03 	 1.397779e-18 	 -4.762296e-03 	 3.496974e-19 	 1.571103e-02 	 1.266576e-19 	 5.828182e-03 	 1.220215e-19 
4 	 -1.836023e-02 	 -1.255234e-18 	 -8.161779e-03 	 -5.153543e-20 	 2.784936e-02 	 6.864941e-19 	 1.133348e-02 	 2.631397e-19 
5 	 -1.713907e-02 	 -2.665147e-19 	 -9.957238e-03 	 -9.453129e-20 	 1.772029e-02 	 7.659688e-19 	 1.261084e-02 	 3.637055e-19 
6 	 -3.453731e-02 	 8.913417e-19 	 -1.405392e-02 	 6.978088e-20 	 2.275152e-02 	 -1.597860e-19 	 1.430095e-02 	 2.764569e-19 
7 	 -3.735329e-02 	 -3.249973e-19 	 -1.738240e-02 	 1.338400e-20 	 8.492239e-03 	 -6.244201e-19 	 1.347114e-02 	 1.477602e-19 
8 	 -2.123914e-02 	 -9.899305e-19 	 -1.786449e-02 	 -1.120303e-19 	 8.284050e-03 	 -1.926132e-18 	 1.282275e-02 	 -1.114763e-19 
9 	 -2.832042e-02 	 9.521225e-19 	 -1.902626e-02 	 6.208893e-21 	 7.553594e-03 	 -6.317820e-19 	 1.223729e-02 	 -1.692881e-19 
10 	 -2.334051e-02 	 4.397539e-19 	 -1.945769e-02 	 4.956339e-20 	 3.075990e-02 	 2.024179e-18 	 1.408955e-02 	 5.005860e-20 
11 	 -1.937807e-02 	 4.992423e-19 	 -1.945045e-02 	 9.044329e-20 	 3.126526e-02 	 3.157572e-18 	 1.565098e-02 	 3.325598e-19 
12 	 -1.411018e-02 	 1.303513e-18 	 -1.900543e-02 	 1.915324e-19 	 4.552532e-02 	 1.063790e-18 	 1.814051e-02 	 3.934956e-19 
13 	 4.970529e-03 	 -1.343347e-18 	 -1.716112e-02 	 7.346478e-20 	 4.385097e-02 	 2.079727e-19 	 2.011823e-02 	 3.792246e-19 
14 	 -1.253826e-02 	 3.991610e-20 	 -1.683092e-02 	 7.106844e-20 	 6.111969e-02 	 6.443306e-19 	 2.304691e-02 	 3.981608e-19 
15 	 -1.413928e-02 	 -2.862632e-19 	 -1.665148e-02 	 4.724634e-20 	 5.496383e-02 	 3.875019e-19 	 2.517470e-02 	 3.974502e-19 
16 	 2.465682e-02 	 2.421774e-18 	 -1.406971e-02 	 1.956543e-19 	 6.194767e-02 	 1.552685e-18 	 2.747301e-02 	 4.696523e-19 
17 	 2.978010e-02 	 -4.274209e-18 	 -1.149031e-02 	 -6.727885e-20 	 6.760458e-02 	 3.312840e-19 	 2.983369e-02 	 4.615130e-19 
18 	 2.106226e-02 	 -2.336608e-18 	 -9.681830e-03 	 -1.933527e-19 	 5.917666e-02 	 3.087299e-18 	 3.146386e-02 	 6.073900e-19 
19 	 -6.948474e-04 	 -2.539420e-18 	 -9.208831e-03 	 -3.168300e-19 	 6.568172e-02 	 9.572100e-19 	 3.326480e-02 	 6.258016e-19 
20 	 -1.989018e-02 	 2.318442e-18 	 -9.742899e-03 	 -1.850664e-19 	 3.791388e-02 	 4.880583e-18 	 3.349725e-02 	 8.385407e-19 
21 	 2.519051e-03 	 1.153572e-18 	 -9.158996e-03 	 -1.213217e-19 	 3.447501e-02 	 3.330575e-18 	 3.354381e-02 	 9.572090e-19 
22 	 8.821996e-04 	 2.987575e-18 	 -8.702578e-03 	 1.999182e-20 	 2.537465e-02 	 -3.296778e-18 	 3.317249e-02 	 7.638459e-19 
23 	 -4.756519e-03 	 2.511587e-18 	 -8.531011e-03 	 1.283221e-19 	 9.925451e-03 	 3.867322e-18 	 3.216175e-02 	 8.987797e-19 
24 	 -1.129248e-03 	 -6.389243e-19 	 -8.222604e-03 	 9.635346e-20 	 -8.078976e-03 	 2.990591e-18 	 3.048505e-02 	 9.859385e-19 
25 	 -3.230870e-03 	 -3.352028e-19 	 -8.022934e-03 	 7.909121e-20 	 -2.370846e-02 	 3.174136e-18 	 2.831731e-02 	 1.073466e-18 
26 	 -1.933981e-02 	 1.009272e-18 	 -8.458199e-03 	 1.148674e-19 	 -4.895406e-02 	 -1.445603e-18 	 2.534533e-02 	 9.765791e-19 
27 	 -2.812905e-02 	 -1.555825e-18 	 -9.186749e-03 	 5.298991e-20 	 -3.474688e-02 	 -1.757813e-18 	 2.311970e-02 	 8.753053e-19 
28 	 -7.928470e-03 	 -1.138381e-18 	 -9.141810e-03 	 1.044095e-20 	 -2.281175e-02 	 1.833439e-18 	 2.147929e-02 	 9.095244e-19 
29 	 1.820610e-02 	 1.941994e-18 	 -8.198779e-03 	 7.704621e-20 	 -4.753710e-02 	 -4.283268e-20 	 1.909941e-02 	 8.766845e-19 
30 	 4.297236e-03 	 1.459814e-18 	 -7.782245e-03 	 1.231385e-19 	 -4.638297e-02 	 -2.137618e-18 	 1.691667e-02 	 7.762077e-19 
31 	 -2.018000e-02 	 -7.199845e-19 	 -8.182173e-03 	 9.594096e-20 	 -2.947262e-02 	 -1.744093e-18 	 1.542024e-02 	 6.949077e-19 
32 	 -1.429383e-02 	 1.876683e-18 	 -8.373162e-03 	 1.515891e-19 	 -3.542873e-02 	 1.951564e-18 	 1.383121e-02 	 7.341782e-19 
33 	 1.262825e-02 	 6.523774e-18 	 -7.736755e-03 	 3.446857e-19 	 -4.009035e-02 	 7.396668e-18 	 1.219722e-02 	 9.360719e-19 
34 	 -1.251613e-02 	 1.037675e-18 	 -7.877325e-03 	 3.650677e-19 	 -3.279298e-02 	 1.370311e-19 	 1.087398e-02 	 9.125707e-19 
35 	 7.428799e-03 	 8.832697e-19 	 -7.440007e-03 	 3.798735e-19 	 -8.950938e-03 	 6.120388e-18 	 1.030755e-02 	 1.061365e-18 
36 	 1.537343e-02 	 7.787893e-19 	 -6.806301e-03 	 3.909545e-19 	 -9.709900e-04 	 -1.181245e-19 	 9.994261e-03 	 1.028602e-18 
