#Beta=5.450000e+00, Nt=6, Ns=12^3 
#Iter 	 TraceF3iF3iMinusF4iF4i.real 	 TraceF3iF3iMinusF4iF4i.imag 	 AvgTraceF3iF3iMinusF4iF4i.real 	 AvgTraceF3iF3iMinusF4iF4i.imag 	 TraceF4iF3iPlusF3iF4i.real 	 TraceF4iF3iPlusF3iF4i.imag 	 AvgTraceF4iF3iPlusF3iF4i.real 	 AvgTraceF4iF3iPlusF3iF4i.imag 
1 	 0.000000e+00 	 0.000000e+00 	 0.000000e+00 	 0.000000e+00 	 0.000000e+00 	 0.000000e+00 	 0.000000e+00 	 0.000000e+00 
2 	 4.129113e-03 	 -3.325629e-19 	 2.064556e-03 	 -1.662814e-19 	 -9.449628e-04 	 -1.609153e-19 	 -4.724814e-04 	 -8.045767e-20 
3 	 5.461417e-03 	 -6.510531e-19 	 3.196843e-03 	 -3.278720e-19 	 -4.333915e-03 	 2.032042e-19 	 -1.759626e-03 	 1.409630e-20 
4 	 2.265319e-02 	 1.019739e-18 	 8.060929e-03 	 9.030849e-21 	 3.648222e-03 	 9.744434e-19 	 -4.076638e-04 	 2.541831e-19 
5 	 1.631098e-02 	 6.683838e-19 	 9.710940e-03 	 1.409014e-19 	 1.637980e-03 	 -1.894342e-18 	 1.464842e-06 	 -1.755220e-19 
6 	 1.926784e-02 	 -1.594798e-19 	 1.130376e-02 	 9.083791e-20 	 -7.691180e-03 	 1.568412e-18 	 -1.280643e-03 	 1.151337e-19 
7 	 3.654777e-02 	 9.877868e-20 	 1.491004e-02 	 9.197231e-20 	 -2.197103e-03 	 -1.320117e-18 	 -1.411565e-03 	 -8.990202e-20 
8 	 2.483917e-02 	 1.421858e-18 	 1.615118e-02 	 2.582080e-19 	 -8.906856e-03 	 -6.229143e-19 	 -2.348477e-03 	 -1.565286e-19 
9 	 5.594106e-03 	 -7.815448e-19 	 1.497818e-02 	 1.426799e-19 	 1.227220e-02 	 3.844902e-19 	 -7.239573e-04 	 -9.641536e-20 
10 	 1.061604e-03 	 1.075508e-18 	 1.358652e-02 	 2.359627e-19 	 1.833952e-02 	 2.551556e-19 	 1.182390e-03 	 -6.125826e-20 
11 	 -5.919290e-03 	 -1.086257e-18 	 1.181326e-02 	 1.157609e-19 	 2.056007e-02 	 1.586315e-18 	 2.943998e-03 	 8.852112e-20 
12 	 -1.942862e-02 	 -2.639436e-18 	 9.209773e-03 	 -1.138388e-19 	 1.395649e-02 	 3.430630e-18 	 3.861705e-03 	 3.670302e-19 
13 	 -2.523113e-02 	 -5.044792e-18 	 6.560473e-03 	 -4.931429e-19 	 1.092542e-02 	 1.572428e-18 	 4.405068e-03 	 4.597531e-19 
14 	 1.118074e-02 	 2.232123e-18 	 6.890492e-03 	 -2.984811e-19 	 9.850714e-03 	 3.142513e-18 	 4.794043e-03 	 6.513788e-19 
15 	 1.700917e-03 	 2.143439e-18 	 6.544520e-03 	 -1.356864e-19 	 1.938256e-02 	 -2.997284e-18 	 5.766611e-03 	 4.081346e-19 
16 	 4.432983e-03 	 -2.711122e-19 	 6.412549e-03 	 -1.441505e-19 	 -7.244831e-04 	 -3.015688e-18 	 5.360917e-03 	 1.941457e-19 
17 	 1.706534e-02 	 4.051471e-19 	 7.039184e-03 	 -1.118389e-19 	 -1.524134e-02 	 9.514376e-19 	 4.149020e-03 	 2.386923e-19 
18 	 5.121102e-03 	 8.276022e-19 	 6.932624e-03 	 -5.964771e-20 	 -2.735737e-02 	 6.289795e-19 	 2.398665e-03 	 2.603749e-19 
19 	 -3.435390e-03 	 -3.009584e-18 	 6.386939e-03 	 -2.149075e-19 	 -1.687529e-02 	 8.753929e-19 	 1.384247e-03 	 2.927443e-19 
20 	 9.363573e-03 	 1.413043e-18 	 6.535771e-03 	 -1.335100e-19 	 -4.455309e-02 	 -1.451292e-18 	 -9.126201e-04 	 2.055425e-19 
21 	 3.474075e-02 	 4.271015e-18 	 7.878865e-03 	 7.622929e-20 	 -4.625009e-02 	 -2.032544e-18 	 -3.071547e-03 	 9.896691e-20 
22 	 9.730758e-03 	 3.142231e-18 	 7.963042e-03 	 2.155930e-19 	 -6.312852e-02 	 -6.699299e-19 	 -5.801410e-03 	 6.401706e-20 
23 	 2.980114e-02 	 -9.449777e-19 	 8.912524e-03 	 1.651334e-19 	 -5.919591e-02 	 -8.461127e-19 	 -8.122910e-03 	 2.444620e-20 
24 	 3.912172e-02 	 1.505664e-18 	 1.017124e-02 	 2.209888e-19 	 -3.554998e-02 	 8.780699e-19 	 -9.265704e-03 	 6.001385e-20 
25 	 2.568919e-02 	 -5.065146e-19 	 1.079196e-02 	 1.918887e-19 	 -6.635121e-02 	 -2.764716e-18 	 -1.154912e-02 	 -5.297532e-20 
26 	 2.744205e-02 	 -1.912420e-18 	 1.143235e-02 	 1.109537e-19 	 -7.533291e-02 	 1.355085e-18 	 -1.400235e-02 	 1.180859e-21 
27 	 1.374693e-02 	 -8.442409e-19 	 1.151807e-02 	 7.557617e-20 	 -6.401331e-02 	 -1.667797e-18 	 -1.585460e-02 	 -6.063315e-20 
28 	 8.385387e-03 	 -2.810633e-20 	 1.140619e-02 	 7.187322e-20 	 -8.971844e-02 	 3.255618e-18 	 -1.849260e-02 	 5.780440e-20 
29 	 -4.805169e-04 	 3.001283e-18 	 1.099630e-02 	 1.728874e-19 	 -6.817309e-02 	 -3.597276e-19 	 -2.020572e-02 	 4.340674e-20 
30 	 2.821605e-03 	 -5.406642e-19 	 1.072381e-02 	 1.491023e-19 	 -6.462320e-02 	 -3.379097e-18 	 -2.168630e-02 	 -7.067671e-20 
31 	 -3.888711e-02 	 -3.606920e-18 	 9.123462e-03 	 2.794031e-20 	 -6.035008e-02 	 -7.341789e-19 	 -2.293352e-02 	 -9.208000e-20 
32 	 -5.075768e-02 	 -2.660056e-18 	 7.252176e-03 	 -5.605957e-20 	 -3.326750e-02 	 3.809431e-18 	 -2.325646e-02 	 2.984223e-20 
33 	 -7.595326e-03 	 -7.972567e-20 	 6.802252e-03 	 -5.677673e-20 	 -6.090579e-02 	 5.380855e-18 	 -2.439735e-02 	 1.919941e-19 
34 	 -2.162589e-02 	 4.413932e-18 	 5.966130e-03 	 7.471470e-20 	 -6.494362e-02 	 3.603968e-19 	 -2.558988e-02 	 1.969472e-19 
35 	 -9.779261e-03 	 2.153137e-20 	 5.516262e-03 	 7.319518e-20 	 -4.033442e-02 	 -1.472373e-19 	 -2.601116e-02 	 1.871133e-19 
36 	 -1.616978e-03 	 4.669772e-19 	 5.318116e-03 	 8.413357e-20 	 -6.658354e-02 	 -6.060908e-18 	 -2.713817e-02 	 1.355717e-20 
37 	 1.329644e-02 	 2.999574e-18 	 5.533747e-03 	 1.629292e-19 	 -3.748267e-02 	 3.647805e-18 	 -2.741775e-02 	 1.117801e-19 
38 	 -8.852575e-03 	 2.988598e-19 	 5.155159e-03 	 1.665064e-19 	 -9.792660e-03 	 1.891330e-18 	 -2.695393e-02 	 1.586104e-19 
39 	 5.830862e-03 	 7.787109e-19 	 5.172485e-03 	 1.822039e-19 	 2.194509e-02 	 -5.520061e-18 	 -2.570011e-02 	 1.300339e-20 
40 	 -1.973586e-02 	 -7.965469e-19 	 4.549776e-03 	 1.577351e-19 	 -1.281673e-03 	 -3.238552e-18 	 -2.508965e-02 	 -6.828550e-20 
41 	 -4.583311e-02 	 -2.002909e-18 	 3.320925e-03 	 1.050365e-19 	 -3.676525e-02 	 7.622878e-19 	 -2.537442e-02 	 -4.802761e-20 
42 	 -4.761736e-02 	 3.177588e-18 	 2.108109e-03 	 1.781925e-19 	 -4.004289e-02 	 4.404739e-18 	 -2.572367e-02 	 5.799063e-20 
43 	 1.020539e-02 	 3.749271e-18 	 2.296418e-03 	 2.612408e-19 	 -6.051810e-02 	 2.515751e-18 	 -2.653284e-02 	 1.151478e-19 
44 	 4.463790e-03 	 -5.405701e-18 	 2.345676e-03 	 1.324467e-19 	 -2.389336e-02 	 4.926344e-18 	 -2.647285e-02 	 2.244932e-19 
45 	 -1.468361e-02 	 -6.920108e-18 	 1.967248e-03 	 -2.427672e-20 	 -1.200991e-02 	 -7.964201e-19 	 -2.615145e-02 	 2.018062e-19 
46 	 -3.591956e-03 	 2.919962e-18 	 1.846396e-03 	 3.972847e-20 	 -1.947979e-02 	 4.967921e-18 	 -2.600642e-02 	 3.054174e-19 
47 	 -1.560314e-02 	 -4.610377e-18 	 1.475129e-03 	 -5.920994e-20 	 -1.323117e-03 	 -8.981477e-19 	 -2.548124e-02 	 2.798097e-19 
48 	 -9.222407e-03 	 1.729322e-18 	 1.252263e-03 	 -2.194885e-20 	 7.680207e-03 	 -6.905431e-18 	 -2.479038e-02 	 1.301172e-19 
