#Iter 	 TraceF3iF3iMinusF4iF4i.real 	 TraceF3iF3iMinusF4iF4i.imag 	 TraceF4iF3iPlusF3iF4i.real 	 TraceF4iF3iPlusF3iF4i.imag 
69 	 3.097561e-02 	 2.659474e-18 	 -1.977771e-02 	 3.111058e-18 
70 	 6.910852e-02 	 2.653456e-18 	 -6.078896e-03 	 -3.635424e-18 
71 	 2.345818e-02 	 1.997314e-18 	 -7.826865e-02 	 -1.449618e-18 
72 	 9.576422e-03 	 3.378093e-19 	 -6.436212e-02 	 -5.772373e-19 
73 	 -4.474305e-02 	 -1.903675e-18 	 -9.416443e-02 	 7.783501e-19 
74 	 -4.348852e-02 	 -1.156231e-18 	 -9.356755e-02 	 2.211906e-19 
75 	 -2.966150e-03 	 1.864356e-18 	 -6.122141e-02 	 2.271470e-18 
76 	 -2.082304e-02 	 -2.372999e-18 	 -7.629440e-02 	 2.571634e-18 
77 	 3.220635e-02 	 3.853153e-18 	 -5.903286e-02 	 -4.075797e-19 
78 	 3.726639e-02 	 -1.910476e-18 	 -1.556249e-02 	 -3.265992e-18 
79 	 6.011573e-02 	 -1.956501e-18 	 -1.357965e-02 	 -1.017276e-19 
80 	 4.656222e-02 	 -2.712592e-18 	 1.878421e-02 	 1.647720e-18 
81 	 2.078247e-02 	 -1.786575e-18 	 -1.592675e-02 	 -1.904046e-18 
82 	 7.389099e-03 	 2.800751e-19 	 -1.222322e-02 	 -2.527797e-18 
83 	 2.881086e-02 	 1.826914e-18 	 -2.770766e-03 	 1.773541e-19 
84 	 -5.418190e-02 	 1.783914e-18 	 3.756445e-02 	 -1.447611e-18 
85 	 -2.407734e-02 	 -8.942799e-19 	 6.364749e-03 	 3.183003e-18 
86 	 -1.412138e-03 	 9.625811e-19 	 1.547532e-03 	 -3.593929e-19 
87 	 -1.412138e-03 	 9.625811e-19 	 1.547532e-03 	 -3.593929e-19 
88 	 6.165542e-02 	 5.732844e-19 	 -6.989413e-03 	 4.220357e-18 
89 	 8.865715e-02 	 3.870533e-18 	 -3.898717e-02 	 1.687206e-18 
90 	 7.579699e-02 	 1.185334e-18 	 -1.865393e-02 	 -1.713307e-18 
91 	 5.087832e-02 	 5.288811e-18 	 2.809786e-02 	 6.933540e-19 
92 	 3.636905e-02 	 -1.299275e-18 	 3.427154e-02 	 -1.434895e-18 
93 	 4.842054e-02 	 2.904120e-18 	 2.125199e-02 	 1.276280e-18 
94 	 1.945177e-02 	 2.830685e-19 	 5.175866e-02 	 -2.565945e-18 
95 	 4.748453e-02 	 -2.492787e-18 	 6.942466e-02 	 -9.178909e-19 
96 	 9.396597e-02 	 -5.027271e-19 	 5.007437e-02 	 8.044512e-19 
97 	 1.056431e-01 	 -2.058001e-18 	 5.348016e-02 	 -3.532357e-18 
98 	 1.070252e-01 	 -1.554986e-18 	 4.944180e-02 	 1.167525e-18 
99 	 6.315722e-02 	 7.446642e-19 	 3.519981e-03 	 2.525120e-18 
100 	 6.218313e-02 	 -2.313908e-18 	 5.603901e-02 	 1.338521e-19 
101 	 6.218313e-02 	 -2.313908e-18 	 5.603901e-02 	 1.338521e-19 
102 	 4.388046e-02 	 -2.147961e-19 	 -7.102352e-03 	 -3.828171e-19 
103 	 1.968043e-02 	 1.229939e-18 	 3.145427e-02 	 -1.248171e-18 
104 	 5.991818e-02 	 -4.389925e-18 	 -1.262507e-02 	 4.109260e-19 
105 	 3.866524e-02 	 -4.860487e-18 	 -4.632941e-02 	 -1.914085e-18 
106 	 3.537271e-02 	 2.481367e-18 	 -1.009449e-02 	 -3.244575e-18 
