#Beta=5.400000e+00, Nt=6, Ns=12^3 
#Iter 	 TraceF3iF3iMinusF4iF4i.real 	 TraceF3iF3iMinusF4iF4i.imag 	 AvgTraceF3iF3iMinusF4iF4i.real 	 AvgTraceF3iF3iMinusF4iF4i.imag 	 TraceF4iF3iPlusF3iF4i.real 	 TraceF4iF3iPlusF3iF4i.imag 	 AvgTraceF4iF3iPlusF3iF4i.real 	 AvgTraceF4iF3iPlusF3iF4i.imag 
1 	 0.000000e+00 	 0.000000e+00 	 0.000000e+00 	 0.000000e+00 	 0.000000e+00 	 0.000000e+00 	 0.000000e+00 	 0.000000e+00 
2 	 4.815981e-03 	 4.139651e-19 	 2.407990e-03 	 2.069826e-19 	 -9.452645e-04 	 5.795797e-19 	 -4.726322e-04 	 2.897898e-19 
3 	 2.909482e-03 	 4.683517e-21 	 2.575154e-03 	 1.395495e-19 	 -8.249505e-03 	 -8.154940e-19 	 -3.064923e-03 	 -7.863812e-20 
4 	 7.199577e-03 	 8.899764e-19 	 3.731260e-03 	 3.271563e-19 	 8.364410e-03 	 1.103109e-18 	 -2.075898e-04 	 2.167986e-19 
5 	 1.489168e-04 	 -1.070216e-18 	 3.014791e-03 	 4.768188e-20 	 1.350482e-02 	 -1.071654e-19 	 2.534892e-03 	 1.520058e-19 
6 	 6.743384e-03 	 1.658962e-19 	 3.636223e-03 	 6.738427e-20 	 3.286538e-02 	 -1.820054e-18 	 7.589973e-03 	 -1.766709e-19 
7 	 5.721637e-03 	 8.492406e-19 	 3.934140e-03 	 1.790780e-19 	 2.837591e-02 	 1.950895e-19 	 1.055939e-02 	 -1.235622e-19 
8 	 6.905789e-04 	 -4.308182e-19 	 3.528694e-03 	 1.028410e-19 	 1.143224e-02 	 -2.208560e-19 	 1.066850e-02 	 -1.357240e-19 
9 	 -1.595544e-02 	 4.867799e-19 	 1.363790e-03 	 1.455009e-19 	 1.743833e-02 	 -2.693774e-19 	 1.142070e-02 	 -1.505743e-19 
10 	 -5.136745e-03 	 -1.668567e-18 	 7.137367e-04 	 -3.590594e-20 	 6.554330e-03 	 2.191076e-18 	 1.093407e-02 	 8.359065e-20 
11 	 1.415619e-02 	 2.221102e-18 	 1.935778e-03 	 1.692766e-19 	 8.194832e-03 	 -2.809556e-18 	 1.068504e-02 	 -1.794227e-19 
12 	 -8.803401e-03 	 -3.359218e-19 	 1.040846e-03 	 1.271767e-19 	 1.228494e-02 	 3.184007e-19 	 1.081837e-02 	 -1.379374e-19 
13 	 -2.832044e-03 	 -1.201733e-18 	 7.429318e-04 	 2.495287e-20 	 4.540380e-04 	 2.240684e-18 	 1.002111e-02 	 4.503352e-20 
14 	 8.420359e-03 	 1.731955e-18 	 1.291319e-03 	 1.468816e-19 	 9.976512e-03 	 3.416021e-18 	 1.001793e-02 	 2.858183e-19 
15 	 1.145384e-02 	 3.055211e-18 	 1.968821e-03 	 3.407702e-19 	 2.620721e-02 	 -1.068475e-18 	 1.109721e-02 	 1.955322e-19 
16 	 1.348278e-02 	 -3.450067e-18 	 2.688443e-03 	 1.038429e-19 	 2.834966e-03 	 4.038988e-19 	 1.058082e-02 	 2.085551e-19 
17 	 -7.739251e-03 	 -9.600282e-19 	 2.075049e-03 	 4.126223e-20 	 -5.602409e-03 	 -5.277789e-18 	 9.628868e-03 	 -1.141711e-19 
18 	 -1.161215e-02 	 -1.443671e-18 	 1.314649e-03 	 -4.123406e-20 	 1.790139e-02 	 3.345968e-18 	 1.008845e-02 	 7.805891e-20 
19 	 6.891178e-03 	 4.660093e-19 	 1.608150e-03 	 -1.453704e-20 	 1.749938e-03 	 7.750038e-19 	 9.649583e-03 	 1.147402e-19 
20 	 2.425806e-02 	 -4.788455e-19 	 2.740646e-03 	 -3.775246e-20 	 2.900747e-03 	 -2.774085e-19 	 9.312141e-03 	 9.513278e-20 
21 	 -3.176071e-04 	 4.107848e-19 	 2.595015e-03 	 -1.639354e-20 	 3.528012e-02 	 -5.619781e-18 	 1.054871e-02 	 -1.770060e-19 
22 	 4.723587e-03 	 -2.582433e-18 	 2.691768e-03 	 -1.330317e-19 	 6.240637e-02 	 1.405196e-18 	 1.290588e-02 	 -1.050877e-19 
23 	 1.030362e-02 	 2.849506e-18 	 3.022718e-03 	 -3.356116e-21 	 5.801448e-02 	 1.122183e-18 	 1.486712e-02 	 -5.172812e-20 
24 	 8.597243e-03 	 2.978654e-19 	 3.254990e-03 	 9.194781e-21 	 3.888129e-02 	 2.155688e-18 	 1.586771e-02 	 4.024757e-20 
25 	 1.690154e-02 	 -3.244219e-18 	 3.800852e-03 	 -1.209418e-19 	 2.561203e-02 	 -3.259299e-19 	 1.625748e-02 	 2.560047e-20 
26 	 4.813685e-03 	 -8.060224e-19 	 3.839807e-03 	 -1.472910e-19 	 -9.138336e-03 	 -3.856614e-19 	 1.528072e-02 	 9.782708e-21 
27 	 2.839263e-03 	 2.941087e-19 	 3.802750e-03 	 -1.309429e-19 	 2.652491e-02 	 -3.346136e-18 	 1.569717e-02 	 -1.145106e-19 
28 	 4.204578e-03 	 2.004488e-19 	 3.817101e-03 	 -1.191075e-19 	 1.675374e-02 	 -1.635673e-18 	 1.573491e-02 	 -1.688378e-19 
29 	 2.094967e-02 	 2.301079e-18 	 4.407879e-03 	 -3.565276e-20 	 4.456489e-02 	 -1.879953e-18 	 1.672905e-02 	 -2.278418e-19 
30 	 6.611274e-03 	 -3.480939e-21 	 4.481326e-03 	 -3.458036e-20 	 1.730960e-02 	 -7.750038e-19 	 1.674840e-02 	 -2.460805e-19 
31 	 3.424563e-02 	 -1.805085e-18 	 5.441465e-03 	 -9.169341e-20 	 2.560307e-02 	 3.814785e-20 	 1.703403e-02 	 -2.369118e-19 
32 	 -7.712840e-03 	 -3.067315e-18 	 5.030393e-03 	 -1.846816e-19 	 3.630636e-02 	 -1.503159e-18 	 1.763629e-02 	 -2.764821e-19 
33 	 -1.320897e-02 	 4.931974e-19 	 4.477685e-03 	 -1.641398e-19 	 -3.881149e-03 	 -3.975157e-18 	 1.698425e-02 	 -3.885631e-19 
34 	 5.221231e-03 	 -2.010297e-18 	 4.499554e-03 	 -2.184385e-19 	 -4.065415e-02 	 -7.897275e-19 	 1.528900e-02 	 -4.003621e-19 
35 	 -5.945024e-03 	 2.750677e-18 	 4.201137e-03 	 -1.336067e-19 	 -6.114415e-02 	 -5.690388e-19 	 1.310520e-02 	 -4.051814e-19 
36 	 2.341440e-02 	 2.080222e-18 	 4.734839e-03 	 -7.211144e-20 	 -6.529518e-02 	 9.845493e-18 	 1.092741e-02 	 -1.204405e-19 
37 	 2.044807e-02 	 2.519100e-18 	 5.159521e-03 	 -2.078699e-21 	 -2.003332e-02 	 -2.409338e-19 	 1.009063e-02 	 -1.236971e-19 
38 	 3.975061e-02 	 3.065381e-18 	 6.069813e-03 	 7.864392e-20 	 2.584795e-02 	 7.033929e-19 	 1.050530e-02 	 -1.019315e-19 
39 	 3.995227e-02 	 -9.656646e-19 	 6.938593e-03 	 5.186678e-20 	 1.029031e-02 	 -2.046264e-18 	 1.049979e-02 	 -1.517862e-19 
40 	 1.326985e-02 	 -4.296546e-18 	 7.096875e-03 	 -5.684354e-20 	 3.285867e-02 	 -3.799392e-18 	 1.105876e-02 	 -2.429764e-19 
41 	 3.732807e-02 	 2.465232e-19 	 7.834221e-03 	 -4.944435e-20 	 7.174589e-03 	 2.684070e-18 	 1.096402e-02 	 -1.715850e-19 
42 	 7.420626e-02 	 -7.842798e-18 	 9.414507e-03 	 -2.350004e-19 	 3.286940e-02 	 4.458949e-18 	 1.148558e-02 	 -6.133420e-20 
43 	 6.306792e-02 	 -1.858819e-19 	 1.066226e-02 	 -2.338581e-19 	 4.844009e-02 	 -1.112311e-18 	 1.234499e-02 	 -8.577552e-20 
44 	 6.119899e-02 	 -4.293601e-18 	 1.181082e-02 	 -3.261250e-19 	 7.512472e-02 	 1.262058e-18 	 1.377180e-02 	 -5.514294e-20 
