#beta=10/g^2, ml=ms/20, Nt=6, Ns=4*Nt, Quark action: HISQ action, Gauge symazik action: 1x1, 1x2, with u0=1.0;
#Beta	ms	T(MeV)
5.9	0.132	134
6	0.1138	147
6.05	0.1064	154
6.1	0.0998	162
6.15	0.0936	170
6.195	0.088	178
6.215	0.0862	181
6.245	0.083	187
6.285	0.079	194
6.341	0.074	205
6.423	0.067	222
6.515	0.0604	243
6.575	0.0564	258
6.608	0.0542	266
6.664	0.0514	281
6.8	0.0448	320
6.95	0.0386	370
7.15	0.032	446
7.28	0.0284	502
7.373	0.025	547
7.5	0.0222	613
7.596	0.0202	667
7.825	0.0164	815
8	0.014	948

#Switch row and coloumn

#Beta[24] = {5.9	6   6.05	6.1	6.15	6.195	6.215	6.245	6.285	6.341	6.423	6.515	6.575	6.608	6.664	6.8 6.95 7.15 7.28 7.373 7.5 7.596 7.825 8.0}
#ms[24]   = {0.132	0.1138		0.1064	0.0998	0.0936	0.088	0.0862	0.083	0.079	0.074	0.067	0.0604	0.0564	0.0542	0.0514	 0.0448	   0.0386    0.032 0.0284 0.025 0.0222 0.0202 0.0164 0.014}
#T[24]    = {134	147		154	162	170	178	181	187	194	205	222	243	258	266	281	 320	   370	     446   502	  547	613    667    815    948}
